"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Població","Índex RFD Barcelona = 100"
2012,1,"Ciutat Vella",1,"el Raval",49844,"65.4"
2012,1,"Ciutat Vella",2,"el Barri Gòtic",16754,"99.7"
2012,1,"Ciutat Vella",3,"la Barceloneta",15745,"69.0"
2012,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",22873,"89.3"
2012,2,"Eixample",5,"el Fort Pienc",32225,"98.0"
2012,2,"Eixample",6,"la Sagrada Família",52007,"95.3"
2012,2,"Eixample",7,"la Dreta de l'Eixample",43436,"150.1"
2012,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",41887,"119.2"
2012,2,"Eixample",9,"la Nova Esquerra de l'Eixample",57760,"105.9"
2012,2,"Eixample",10,"Sant Antoni",38277,"94.8"
2012,3,"Sants-Montjuïc",11,"el Poble Sec",41380,"80.7"
2012,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1046,"45.9"
2012,3,"Sants-Montjuïc",13,"la Marina de Port",30256,"67.4"
2012,3,"Sants-Montjuïc",14,"la Font de la Guatlla",10236,"69.7"
2012,3,"Sants-Montjuïc",15,"Hostafrancs",16094,"72.1"
2012,3,"Sants-Montjuïc",16,"la Bordeta",18498,"72.9"
2012,3,"Sants-Montjuïc",17,"Sants - Badal",24574,"74.3"
2012,3,"Sants-Montjuïc",18,"Sants",41530,"85.2"
2012,4,"Les Corts",19,"les Corts",46698,"129.6"
2012,4,"Les Corts",20,"la Maternitat i Sant Ramon",23762,"109.3"
2012,4,"Les Corts",21,"Pedralbes",11778,"240.7"
2012,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",4398,"177.5"
2012,5,"Sarrià-Sant Gervasi",23,"Sarrià",24362,"189.8"
2012,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",16008,"215.0"
2012,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",24552,"187.9"
2012,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",46466,"176.0"
2012,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",29618,"138.2"
2012,6,"Gràcia",28,"Vallcarca i els Penitents",15521,"113.7"
2012,6,"Gràcia",29,"el Coll",7222,"92.9"
2012,6,"Gràcia",30,"la Salut",13196,"117.4"
2012,6,"Gràcia",31,"la Vila de Gràcia",51025,"102.6"
2012,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",34582,"98.6"
2012,7,"Horta-Guinardó",33,"el Baix Guinardó",25768,"85.3"
2012,7,"Horta-Guinardó",34,"Can Baró",8990,"81.4"
2012,7,"Horta-Guinardó",35,"el Guinardó",35697,"89.8"
2012,7,"Horta-Guinardó",36,"la Font d'en Fargues",9498,"107.5"
2012,7,"Horta-Guinardó",37,"el Carmel",32323,"58.5"
2012,7,"Horta-Guinardó",38,"la Teixonera",11410,"71.3"
2012,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",6922,"79.6"
2012,7,"Horta-Guinardó",40,"Montbau",5090,"76.4"
2012,7,"Horta-Guinardó",41,"la Vall d'Hebron",5545,"90.3"
2012,7,"Horta-Guinardó",42,"la Clota",456,"78.5"
2012,7,"Horta-Guinardó",43,"Horta",26816,"80.0"
2012,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",25584,"71.7"
2012,8,"Nou Barris",45,"Porta",24772,"60.5"
2012,8,"Nou Barris",46,"el Turó de la Peira",15428,"56.4"
2012,8,"Nou Barris",47,"Can Peguera",2242,"53.1"
2012,8,"Nou Barris",48,"la Guineueta",15143,"56.1"
2012,8,"Nou Barris",49,"Canyelles",7144,"61.1"
2012,8,"Nou Barris",50,"les Roquetes",16018,"52.8"
2012,8,"Nou Barris",51,"Verdun",12407,"49.5"
2012,8,"Nou Barris",52,"la Prosperitat",26515,"60.0"
2012,8,"Nou Barris",53,"la Trinitat Nova",7692,"38.9"
2012,8,"Nou Barris",54,"Torre Baró",2178,"52.4"
2012,8,"Nou Barris",55,"Ciutat Meridiana",10709,"37.5"
2012,8,"Nou Barris",56,"Vallbona",1329,"52.6"
2012,9,"Sant Andreu",57,"la Trinitat Vella",10487,"52.2"
2012,9,"Sant Andreu",58,"Baró de Viver",2393,"52.4"
2012,9,"Sant Andreu",59,"el Bon Pastor",12990,"67.3"
2012,9,"Sant Andreu",60,"Sant Andreu",56204,"77.6"
2012,9,"Sant Andreu",61,"la Sagrera",29038,"72.9"
2012,9,"Sant Andreu",62,"el Congrés i els Indians",14112,"72.3"
2012,9,"Sant Andreu",63,"Navas",21728,"77.0"
2012,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",38232,"81.2"
2012,10,"Sant Martí",65,"el Clot",27201,"78.2"
2012,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",14147,"88.9"
2012,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",9322,"146.6"
2012,10,"Sant Martí",68,"el Poblenou",32816,"89.8"
2012,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",12701,"127.4"
2012,10,"Sant Martí",70,"el Besòs i el Maresme",23732,"52.4"
2012,10,"Sant Martí",71,"Provençals del Poblenou",19952,"80.4"
2012,10,"Sant Martí",72,"Sant Martí de Provençals",26152,"63.5"
2012,10,"Sant Martí",73,"la Verneda i la Pau",29201,"56.8"
2012,99,"No consta",99,"No consta",145,"-"
