"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Població","Índex RFD Barcelona = 100"
2013,1,"Ciutat Vella",1,"el Raval",49225,"60.3"
2013,1,"Ciutat Vella",2,"el Barri Gòtic",16327,"103.6"
2013,1,"Ciutat Vella",3,"la Barceloneta",15571,"82.1"
2013,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",22821,"91.2"
2013,2,"Eixample",5,"el Fort Pienc",31754,"99.0"
2013,2,"Eixample",6,"la Sagrada Família",51725,"97.5"
2013,2,"Eixample",7,"la Dreta de l'Eixample",43439,"165.7"
2013,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",41843,"125.1"
2013,2,"Eixample",9,"la Nova Esquerra de l'Eixample",57828,"108.6"
2013,2,"Eixample",10,"Sant Antoni",38299,"102.5"
2013,3,"Sants-Montjuïc",11,"el Poble Sec",41060,"71.0"
2013,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",1117,"59.1"
2013,3,"Sants-Montjuïc",13,"la Marina de Port",30099,"70.9"
2013,3,"Sants-Montjuïc",14,"la Font de la Guatlla",10307,"77.8"
2013,3,"Sants-Montjuïc",15,"Hostafrancs",15894,"77.2"
2013,3,"Sants-Montjuïc",16,"la Bordeta",18449,"71.4"
2013,3,"Sants-Montjuïc",17,"Sants - Badal",24344,"76.6"
2013,3,"Sants-Montjuïc",18,"Sants",41104,"82.6"
2013,4,"Les Corts",19,"les Corts",46126,"124.8"
2013,4,"Les Corts",20,"la Maternitat i Sant Ramon",23653,"118.7"
2013,4,"Les Corts",21,"Pedralbes",11784,"243.9"
2013,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",4491,"177.8"
2013,5,"Sarrià-Sant Gervasi",23,"Sarrià",24582,"196.1"
2013,5,"Sarrià-Sant Gervasi",24,"les Tres Torres",16087,"224.0"
2013,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",25251,"189.6"
2013,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",46628,"195.6"
2013,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",28883,"142.2"
2013,6,"Gràcia",28,"Vallcarca i els Penitents",15479,"103.9"
2013,6,"Gràcia",29,"el Coll",7170,"83.1"
2013,6,"Gràcia",30,"la Salut",13223,"113.5"
2013,6,"Gràcia",31,"la Vila de Gràcia",50730,"109.5"
2013,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",34429,"101.0"
2013,7,"Horta-Guinardó",33,"el Baix Guinardó",25676,"83.6"
2013,7,"Horta-Guinardó",34,"Can Baró",8916,"74.2"
2013,7,"Horta-Guinardó",35,"el Guinardó",35790,"86.4"
2013,7,"Horta-Guinardó",36,"la Font d'en Fargues",9482,"108.6"
2013,7,"Horta-Guinardó",37,"el Carmel",32181,"54.4"
2013,7,"Horta-Guinardó",38,"la Teixonera",11257,"69.0"
2013,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",6918,"74.8"
2013,7,"Horta-Guinardó",40,"Montbau",5134,"71.5"
2013,7,"Horta-Guinardó",41,"la Vall d'Hebron",5543,"87.7"
2013,7,"Horta-Guinardó",42,"la Clota",504,"85.1"
2013,7,"Horta-Guinardó",43,"Horta",26543,"83.1"
2013,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",25530,"71.1"
2013,8,"Nou Barris",45,"Porta",24442,"61.3"
2013,8,"Nou Barris",46,"el Turó de la Peira",15307,"51.6"
2013,8,"Nou Barris",47,"Can Peguera",2261,"53.1"
2013,8,"Nou Barris",48,"la Guineueta",15152,"54.5"
2013,8,"Nou Barris",49,"Canyelles",7097,"57.0"
2013,8,"Nou Barris",50,"les Roquetes",15836,"50.4"
2013,8,"Nou Barris",51,"Verdun",12296,"55.6"
2013,8,"Nou Barris",52,"la Prosperitat",26320,"56.3"
2013,8,"Nou Barris",53,"la Trinitat Nova",7533,"38.5"
2013,8,"Nou Barris",54,"Torre Baró",2201,"44.7"
2013,8,"Nou Barris",55,"Ciutat Meridiana",10537,"43.2"
2013,8,"Nou Barris",56,"Vallbona",1330,"41.7"
2013,9,"Sant Andreu",57,"la Trinitat Vella",10418,"53.5"
2013,9,"Sant Andreu",58,"Baró de Viver",2438,"61.9"
2013,9,"Sant Andreu",59,"el Bon Pastor",12734,"71.8"
2013,9,"Sant Andreu",60,"Sant Andreu",56280,"79.3"
2013,9,"Sant Andreu",61,"la Sagrera",28827,"74.3"
2013,9,"Sant Andreu",62,"el Congrés i els Indians",14015,"73.7"
2013,9,"Sant Andreu",63,"Navas",21792,"75.4"
2013,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",38035,"76.5"
2013,10,"Sant Martí",65,"el Clot",27154,"76.9"
2013,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",14513,"93.7"
2013,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",9367,"151.6"
2013,10,"Sant Martí",68,"el Poblenou",33176,"89.6"
2013,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",13125,"150.1"
2013,10,"Sant Martí",70,"el Besòs i el Maresme",23202,"53.0"
2013,10,"Sant Martí",71,"Provençals del Poblenou",20158,"76.1"
2013,10,"Sant Martí",72,"Sant Martí de Provençals",26040,"66.2"
2013,10,"Sant Martí",73,"la Verneda i la Pau",29103,"56.1"
2013,99,"No consta",99,"No consta",205,"-"
